ID,SKU,Tên
218,32R300E,"Tivi Sony 32 inch KDL-32R300E"
236,32W600D,"Internet Tivi Sony 32 inch KDL-32W600D"
268,32W610F,"Smart Tivi Sony 32 inch KDL-32W610F"
293,40W650D,"Internet Tivi Sony 40 inch KDL-40W650D"
325,40W660E,"Smart Tivi Sony 40 inch KDL-40W660E"
343,43W660F,"Smart Tivi Sony 43 inch KDL-43W660F"
369,43X7000F,"Smart Tivi Sony 4K 43 inch KD-43X7000F"
392,43X7500F,"Android Tivi Sony 4K 43 inch KD-43X7500F"
416,43X8500F,"Android Tivi Sony 4K 43 inch KD-43X8500F"
441,43X8500F/S,"Android Tivi Sony 4K 43 inch KD-43X8500F/S"
467,48W650D,"Internet Tivi Sony 48 inch KDL-48W650D"
491,49W800F,"Android Tivi Sony 49 inch KDL-49W800F"
513,49X7500F,"Android Tivi Sony 4K 49 inch KD-49X7500F"
537,49X8500F,"Android Tivi Sony 4K 49 inch KD-49X8500F"
559,49X8500F/S,"Android Tivi Sony 4K 49 inch KD-49X8500F/S"
584,55A8F,"Android Tivi OLED Sony 4K 55 inch KD-55A8F"
610,55A9F,"Android Tivi OLED Sony 4K 55 inch KD-55A9F"
638,55S8500D,"Android Tivi Cong Sony 4K 55 inch KD-55S8500D"
670,55X7000F,"Smart Tivi Sony 4K 55 inch KD-55X7000F"
689,65A8F,"Android Tivi OLED Sony 4K 65 inch KD-65A8F"
714,65A9F,"Android Tivi OLED Sony 4K 65 inch KD-65A9F"
741,65X7000F,"Smart Tivi Sony 4K 65 inch KD-65X7000F"
763,43W800F,"Android Tivi Sony 43 inch KDL-43W800F"
786,43X8000G,"Android Tivi Sony 4K 43 inch KD-43X8000G"
812,43X8500G,"Android Tivi Sony 4K 43 inch KD-43X8500G"
854,43X8500GS,"Android Tivi Sony 4K 43 inch KD-43X8500G/S"
880,49W800G,"Android Tivi Sony 49 inch KDL-49W800G"
905,49X7000G,"Smart Tivi Sony 4K 49 inch KD-49X7000G"
941,49X8000G,"Android Tivi Sony 4K 49 inch KD-49X8000G"
966,49X8500G/S,"Android Tivi Sony 4K 49 inch KD-49X8500G/S"
990,50W660G,"Smart Tivi Sony 50 inch KDL-50W660G"
1012,55X7000G,"Smart Tivi Sony 4K 55 inch KD-55X7000G"
1037,55X8000G,"Android Tivi Sony 4K 55 inch KD-55X8000G"
1063,55X8500G,"Android Tivi Sony 4K 55 inch KD-55X8500G"
1101,55X8500G/S,"Android Tivi Sony 4K 55 inch KD-55X8500G/S"
1131,KD-55X9500G,"Android Tivi Sony 4K 55 inch KD-55X9500G"
1159,KD-65X7000G,"Smart Tivi Sony 4K 65 inch KD-65X7000G"
1183,KD-65X8000G,"Android Tivi Sony 4K 65 inch KD-65X8000G"
1225,KD-65X8500G,"Android Tivi Sony 4K 65 inch KD-65X8500G"
1252,KD-65X9500G,"Android Tivi Sony 4K 65 inch KD-65X9500G"
1278,KD-75X8000G,"Android Tivi Sony 4K 75 inch KD-75X8000G"
1304,KD-75X8500G,"Android Tivi Sony 4K 75 inch KD-75X8500G"
1328,UA55NU7100,"Smart Tivi Samsung 4K 55 inch UA55NU7100"
1349,UA49NU7100,"Smart Tivi Samsung 4K 49 inch UA49NU7100"
1370,UA49N5500,"Smart Tivi Samsung 49 inch UA49N5500"
